Date,Scrip,Open,High,Low,Close,Volume
20230309,00DS30,2225.88009,2231.6144,2224.7892,2226.96941,5456823000
20230309,00DSES,1361.57991,1365.95745,1361.38017,1362.3256,5456823000
20230309,00DSEX,6262.3116,6273.04284,6254.0166,6260.17687,5456823000
20230309,1JANATAMF,6.1,6.1,6.1,6.1,13
20230309,1STPRIMFMF,14,14,13.8,13.8,60156
20230309,AAMRANET,64.4,66.8,64.4,65.3,3745865
20230309,AAMRATECH,36.4,37.3,36.4,36.7,691784
20230309,ABB1STMF,5.2,5.2,5.2,5.2,637
20230309,ABBANK,9.9,9.9,9.9,9.9,1456
20230309,ACFL,26.5,26.5,26.5,26.5,3789
20230309,ACI,260.2,260.2,260.2,260.2,2
20230309,ACIFORMULA,155,155,155,155,2527
20230309,ACMELAB,85,85,85,85,11380
20230309,ADNTEL,160,169,158.2,166.5,1432540
20230309,ADVENT,23.9,24.2,23.5,23.8,804677
20230309,AFCAGRO,23.5,23.5,23.5,23.5,150
20230309,AFTABAUTO,24.5,24.5,24.5,24.5,12038
20230309,AGNISYSL,22.8,23.4,22.7,23,718484
20230309,AGRANINS,35.6,36.4,34.8,35.4,27662
20230309,AIBL1STIMF,7.3,7.3,7.3,7.3,56900
20230309,AL-HAJTEX,172.2,174.8,171.8,173.7,256943
20230309,ALARABANK,23.6,24,23.6,23.6,11677
20230309,ALIF,13.3,13.3,13.3,13.3,3151
20230309,ALLTEX,17.5,17.5,17.5,17.5,202
20230309,AMANFEED,33.5,33.5,33.5,33.5,6
20230309,AMBEEPHA,498,498,479,481.1,515
20230309,AMCL(PRAN),254.9,254.9,252,252,23521
20230309,ANLIMAYARN,35,35.3,33,34.5,96536
20230309,ANWARGALV,213.3,213.3,213.3,213.3,667
20230309,AOL,36.5,36.5,36.5,36.5,805
20230309,APEXFOODS,265.3,273,262.6,264.5,64427
20230309,APEXFOOT,329,330,315.3,318.5,378167
20230309,APEXSPINN,118.8,118.8,116,116.3,33744
20230309,APEXTANRY,100.1,100.1,99.3,99.4,7469
20230309,APOLOISPAT,8.2,8.2,8.2,8.2,3
20230309,APSCLBOND,5500,5700,5500,5501,227
20230309,ARAMIT,259.2,264.3,258.9,258.9,7798
20230309,ARAMITCEM,22.4,23.6,22,22.4,90042
20230309,ARGONDENIM,18.2,18.2,18.2,18.2,58
20230309,ASIAINS,49.8,49.8,48.9,49,232081
20230309,ASIAPACINS,46.5,46.5,45.7,46.1,16118
20230309,ATCSLGF,9.7,9.7,9.7,9.7,18
20230309,AZIZPIPES,83.9,85.4,83.9,84.1,16556
20230309,BANGAS,111.5,111.7,109.8,110.1,28157
20230309,BANKASIA,20.3,20.3,20.2,20.2,7281
20230309,BARKAPOWER,21.3,21.3,21.3,21.3,411
20230309,BATASHOE,944,961.5,944,961.4,2526
20230309,BATBC,518.7,518.7,518.7,518.7,655
20230309,BAYLEASING,23.9,23.9,23.9,23.9,205
20230309,BBS,21.6,21.6,21.6,21.6,15030
20230309,BBSCABLES,49.9,49.9,49.9,49.9,399
20230309,BDAUTOCA,122.4,123.1,119,120.3,26580
20230309,BDCOM,41.5,44.9,41.5,43.6,4046430
20230309,BDFINANCE,44.1,44.1,44.1,44.1,70
20230309,BDLAMPS,255.5,257.5,252.9,253.2,90283
20230309,BDTHAI,13.4,13.9,13,13.1,278865
20230309,BDTHAIFOOD,35.7,36.1,35.3,35.5,166651
20230309,BDWELDING,27.2,28,26.5,26.9,257652
20230309,BEACHHATCH,37.5,37.5,36.8,37.1,536978
20230309,BEACONPHAR,283,285,278.8,283,174324
20230309,BENGALWTL,39.4,41,39.4,40.8,1809775
20230309,BERGERPBL,1732,1734.7,1720,1721.7,3258
20230309,BEXGSUKUK,85,85,85,85,20274
20230309,BEXIMCO,115.6,115.6,115.6,115.6,1527
20230309,BGIC,63,64.8,62.2,64.5,47888
20230309,BNICL,58.6,58.8,57.4,58,139974
20230309,BPML,86,86.6,83.6,84,1750420
20230309,BPPL,29.3,29.3,29.3,29.3,4
20230309,BRACBANK,38.5,38.5,38.5,38.5,105
20230309,BSC,133.6,136,131.8,133.5,1681125
20230309,BSCCL,218.9,218.9,218.9,218.9,417
20230309,BSRMLTD,90,90,90,90,620
20230309,BSRMSTEEL,63.9,63.9,63.9,63.9,21
20230309,BXPHARMA,146.2,146.2,146.2,146.2,336
20230309,CAPMBDBLMF,9.9,9.9,9.9,9.9,16501
20230309,CAPMIBBLMF,11.5,11.5,10.7,10.8,277004
20230309,CENTRALINS,39.3,40.6,39.1,40.3,239538
20230309,CENTRALPHL,10,10.3,10,10.1,195097
20230309,CITYBANK,21.8,21.8,21.8,21.8,272805
20230309,CITYGENINS,31,31.9,31,31.8,557969
20230309,CLICL,64.8,64.8,62.5,63,331432
20230309,CONFIDCEM,89,89,89,89,853
20230309,CONTININS,31.6,31.6,30.2,31,107147
20230309,COPPERTECH,36.9,36.9,36.9,36.9,5248
20230309,CRYSTALINS,38.7,39.2,37.2,38.7,152704
20230309,CVOPRL,163.7,163.7,163.7,163.7,9
20230309,DACCADYE,13.2,13.4,13.2,13.2,996061
20230309,DAFODILCOM,65.8,65.8,65.8,65.8,8399
20230309,DBH,57.8,57.8,57.8,57.8,1241
20230309,DBH1STMF,6.9,6.9,6.9,6.9,50
20230309,DELTALIFE,154.5,154.5,148,149.7,576902
20230309,DELTASPINN,8.5,8.5,8.5,8.5,3
20230309,DESHBANDHU,16.4,16.4,15.8,15.9,130956
20230309,DGIC,30.6,30.6,29.9,30.1,126730
20230309,DHAKABANK,13.3,13.3,13.2,13.2,52100
