Date,Scrip,Open,High,Low,Close,Volume
20230117,PDL,9.9,10.6,9.9,10.5,3032647
20230117,PENINSULA,27.4,28.3,27.4,27.8,1089206
20230117,PEOPLESINS,34.2,35,34.2,34.6,307153
20230117,PHARMAID,790.7,790.7,790.7,790.7,616
20230117,PHENIXINS,36.3,36.8,36,36.5,66002
20230117,PHOENIXFIN,16.3,16.3,16.3,16.3,1400
20230117,PHPMF1,5.2,5.2,5.2,5.2,2396
20230117,PIONEERINS,71.5,71.5,71.5,71.5,8603
20230117,POPULAR1MF,5.1,5.1,5.1,5.1,257
20230117,POPULARLIF,73,75,70.4,73.3,346004
20230117,POWERGRID,52.4,52.4,52.4,52.4,3605
20230117,PRAGATIINS,71,73.8,69,72.6,345287
20230117,PRAGATILIF,142.5,151,142.5,150.3,615483
20230117,PREMIERBAN,13.3,13.6,13.3,13.5,1280580
20230117,PREMIERCEM,44.5,44.5,44.5,44.5,2793
20230117,PREMIERLEA,7.4,7.4,7.4,7.4,120
20230117,PRIMEBANK,19.3,19.5,19.3,19.3,24285
20230117,PRIMEFIN,11.5,11.5,11.5,11.5,19483
20230117,PRIMELIFE,58.3,59.8,57.7,59.2,80167
20230117,PRIMETEX,36,36,36,36,8308
20230117,PROGRESLIF,81.5,83.8,81.5,82,104679
20230117,PROVATIINS,58.9,58.9,58.9,58.9,386
20230117,PTL,77,77,77,77,155
20230117,PUBALIBANK,26.2,26.5,26.1,26.2,106925
20230117,PURABIGEN,27.8,28.2,27.6,28,652433
20230117,QUASEMIND,58.4,58.4,58.4,58.4,280
20230117,QUEENSOUTH,23.3,23.3,23.3,23.3,23551
20230117,RAHIMAFOOD,237.7,237.7,237.7,237.7,211
20230117,RAHIMTEXT,184.1,184.1,184.1,184.1,912
20230117,RAKCERAMIC,42.9,42.9,42.9,42.9,23115
20230117,RANFOUNDRY,161.2,162.3,159,160.2,49881
20230117,RDFOOD,36.2,36.2,36.2,36.2,11240
20230117,RECKITTBEN,4760.7,4780,4760.7,4761.1,51
20230117,REGENTTEX,9.8,9.8,9.8,9.8,14200
20230117,RELIANCE1,9.9,9.9,9.9,9.9,57666
20230117,RELIANCINS,60,62,60,61.8,40399
20230117,RENATA,1217.9,1217.9,1217.9,1217.9,173
20230117,RENWICKJA,841,849.4,841,841,1091
20230117,REPUBLIC,33,34.6,33,33.2,45323
20230117,RINGSHINE,9.8,9.8,9.8,9.8,55216
20230117,RNSPIN,6.2,6.2,6.2,6.2,3615
