Date,Scrip,Open,High,Low,Close,Volume
20230212,00DS30,2235.3569,2237.33233,2221.7076,2225.33687,4708480000
20230212,00DSES,1371.89046,1374.06626,1363.42903,1365.95281,4708480000
20230212,00DSEX,6283.30751,6288.46029,6248.85778,6256.15674,4708480000
20230212,1STPRIMFMF,14.3,14.4,14.3,14.3,49744
20230212,AAMRANET,64.7,64.7,60.4,61.2,2168600
20230212,AAMRATECH,34.7,34.7,33.3,33.6,394719
20230212,ABB1STMF,5.2,5.2,5.2,5.2,33
20230212,ABBANK,9.9,9.9,9.9,9.9,11010
20230212,ACI,260.2,260.2,260.2,260.2,330
20230212,ACIFORMULA,155,155,155,155,7840
20230212,ACMELAB,85,85,85,85,3504
20230212,ACMEPL,35.4,35.4,35.4,35.4,1
20230212,ACTIVEFINE,19.3,19.3,19.3,19.3,5100
20230212,ADNTEL,111.9,112,110,110.7,159904
20230212,ADVENT,24.3,24.4,23.8,23.9,644332
20230212,AFTABAUTO,24.5,24.5,24.5,24.5,8445
20230212,AGNISYSL,23.2,23.3,23.1,23.1,147379
20230212,AGRANINS,36.6,36.8,36.6,36.6,8881
20230212,AL-HAJTEX,132.7,142.9,132.5,140.6,486661
20230212,ALIF,13.3,13.3,13.3,13.3,2000
20230212,ALLTEX,18.6,18.6,18.6,18.6,1500
20230212,AMANFEED,33.5,33.5,33.5,33.5,251
20230212,AMBEEPHA,479.9,480,479.9,479.9,1303
20230212,AMCL(PRAN),255.2,259,251.4,251.4,52229
20230212,ANLIMAYARN,30.8,30.8,30.8,30.8,6620
20230212,ANWARGALV,213.3,213.3,213.3,213.3,454
20230212,AOL,36.5,36.5,36.5,36.5,6
20230212,APEXFOODS,291,291.7,287.9,287.9,66700
20230212,APEXFOOT,303,312.7,296,299.5,308643
20230212,APEXSPINN,115.9,118.4,115,116.1,72400
20230212,APEXTANRY,104,104.2,104,104,16273
20230212,APOLOISPAT,8.2,8.2,8.2,8.2,53
20230212,ARAMIT,277,277,273.4,273.4,3503
20230212,ARAMITCEM,23.9,23.9,23.9,23.9,510
20230212,ARGONDENIM,18.2,18.2,18.2,18.2,5
20230212,ASIAINS,49.9,49.9,48.9,49.1,295691
20230212,ASIAPACINS,46.1,46.1,46.1,46.1,1220
