Date,Scrip,Open,High,Low,Close,Volume
20230306,00DS30,2225.84452,2232.54402,2219.97061,2225.98159,7273088000
20230306,00DSES,1362.92471,1367.83614,1356.85492,1361.82894,7273088000
20230306,00DSEX,6250.20047,6273.8427,6250.20786,6259.4753,7273088000
20230306,1STPRIMFMF,13.9,14,13.8,13.8,83251
20230306,AAMRANET,66,66.7,64,64.5,2778531
20230306,AAMRATECH,37.5,38.1,36.9,37,1671730
20230306,ABBANK,9.9,9.9,9.9,9.9,73569
20230306,ACFL,26.5,26.5,26.5,26.5,24025
20230306,ACI,260.2,260.2,260.2,260.2,1262
20230306,ACIFORMULA,155,155,155,155,5219
20230306,ACMELAB,85,85,85,85,21611
20230306,ACMEPL,35.4,35.4,35.4,35.4,4124
20230306,ACTIVEFINE,19.3,19.3,19.3,19.3,524
20230306,ADNTEL,145.6,155.1,145.5,154.2,1943733
20230306,ADVENT,24.7,24.9,24,24.6,2167265
20230306,AFCAGRO,23.5,23.5,23.5,23.5,100
20230306,AFTABAUTO,24.5,24.9,24.5,24.5,163174
20230306,AGNISYSL,23.3,23.5,22.9,23,848621
20230306,AGRANINS,34.8,36,34.8,35.9,42952
20230306,AIBL1STIMF,7.3,7.5,7.3,7.3,37705
20230306,AL-HAJTEX,172.5,176.5,169,174.4,554202
20230306,ALARABANK,23.6,23.6,23.6,23.6,17998
20230306,ALIF,13.3,13.3,13.3,13.3,2105
20230306,ALLTEX,17.5,17.5,17.5,17.5,36148
20230306,AMANFEED,33.5,33.5,33.5,33.5,255
20230306,AMBEEPHA,507,508.9,492.1,493.1,2732
20230306,AMCL(PRAN),258.5,258.5,252,252.8,41445
20230306,ANLIMAYARN,32.5,34.9,32.2,34,213556
20230306,ANWARGALV,213.3,213.3,213.3,213.3,421
20230306,AOL,36.5,36.5,36.5,36.5,134504
20230306,APEXFOODS,270,271,258.2,260.7,88024
20230306,APEXFOOT,310.3,319,302.2,306,282969
20230306,APEXSPINN,119.9,120,116,116.9,39592
20230306,APEXTANRY,103.5,103.5,100,100,10584
20230306,APOLOISPAT,8.2,8.2,8.2,8.2,7022
20230306,ARAMIT,260.1,265,260.1,261.2,5246
20230306,ARAMITCEM,23.3,24.5,22.9,23.7,134359
20230306,ARGONDENIM,18.2,18.2,18.2,18.2,1600
20230306,ASIAINS,49.6,50.6,49.5,50,338363
20230306,ASIAPACINS,45.7,46.8,45.7,46.2,68786
20230306,ATCSLGF,9.7,9.7,9.7,9.7,1000
20230306,AZIZPIPES,87.2,89,84,85,38422
20230306,BANGAS,110,114,110,112,16025
20230306,BANKASIA,20.2,20.4,20.2,20.3,161138
20230306,BATASHOE,950,955,946.1,952.7,51
20230306,BATBC,518.7,518.7,518.7,518.7,370
20230306,BBS,21.6,21.6,21.6,21.6,96904
20230306,BBSCABLES,49.9,49.9,49.9,49.9,11610
20230306,BDAUTOCA,121.5,124,120.2,121.1,38898
20230306,BDCOM,40.3,42.6,40.3,40.8,3440573
20230306,BDLAMPS,258,263,255.3,256.3,80534
20230306,BDTHAI,13.4,14.4,13.4,14.1,885794
20230306,BDTHAIFOOD,36.4,37.5,36.2,36.4,297722
20230306,BDWELDING,28.7,28.7,27.1,27.4,195216
20230306,BEACHHATCH,37.6,38.3,36.6,36.8,821387
20230306,BEACONPHAR,288,290,270,281.2,138060
20230306,BENGALWTL,40.7,41.1,39.5,39.9,2026505
20230306,BERGERPBL,1716,1735,1716,1721.3,1025
20230306,BEXGSUKUK,85,86.5,85,86,25400
20230306,BEXIMCO,115.6,115.6,115.6,115.6,664
20230306,BGIC,69.8,69.9,65,65.9,89496
20230306,BIFC,9.5,9.5,9.5,9.5,5
20230306,BNICL,59,60.5,58.5,59.4,327327
20230306,BPML,84.8,85.6,82.2,82.7,1903172
20230306,BRACBANK,38.5,38.5,38.5,38.5,50210
20230306,BSC,138.2,141,134.5,136.4,2545254
20230306,BSCCL,218.9,218.9,218.9,218.9,358
20230306,BSRMSTEEL,63.9,63.9,63.9,63.9,20
20230306,BXPHARMA,146.2,146.2,146.2,146.2,8866
20230306,CAPMBDBLMF,9.9,9.9,9.9,9.9,3
20230306,CAPMIBBLMF,9.9,10.5,9.9,10.1,408876
20230306,CENTRALINS,36.5,38.6,36.5,38.1,64736
20230306,CENTRALPHL,10.5,10.8,10.5,10.6,356535
